respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_2t3WywOyYvxT3vc,Yes,A little,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_PZJV1o6N35qCzbH,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2Bg758iFDnWduz4,Yes,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,No,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_2xW6MrDNZ5z3hzZ,No,A little,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_128UeniNy0MV8m3,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_2rA6YuJlb4qHN04,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3MzB9GqOHOKDTPU,Yes,A little,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_phP4KQSPjbbQ2el,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3oNu8ANTl7JIzcs,Yes,A great deal,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,No,No,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3h5Eu9LolUGWSdk,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_BqZNwpu33FbdUpr,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2Pe4vbb9kuSw1H0,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2VkY9oQceNmVf8E,No,Some,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,No,Not at all acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2RNSUwxls2GoIhj,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2bISLmZYH5xPjuQ,Yes,A great deal,Strongly agree,Strongly disagree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3htHwBmqL1P3Hvr,No,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3Eut5y8QCzAkFDr,Yes,A great deal,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly agree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_viSuzK6ebcSilNL,Yes,A great deal,Somewhat agree,Strongly disagree,Strongly Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_PtfOYdSdM58geCB,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Yes,Yes,Yes,Very acceptable,Very acceptable,Very acceptable,Yes,Yes,Yes
R_278UgboUPUZboYr,Yes,Some,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_1mgRO5VOvUSB5Mb,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3qdHVFrbMgQzQWX,Yes,A great deal,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2zA7PqgMnRtRch0,No,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Yes,Very acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_2fl2bbownBq7zcm,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Very acceptable,Yes,No,No
R_2v6OHR9TXeMEJSP,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_agTjV7Rf1V5Jqet,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_2VEdgRYlnw5yco5,Yes,Some,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_2t9cUvKa4X8WKLQ,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1d6L5YzaH3M57XO,Yes,A little,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Very acceptable,Very acceptable,No,No,No
R_27EBGEFi1DyziVN,Yes,Nothing,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,Yes
R_1K7Jhluw2kqvB13,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_22SldHZUxrM8oht,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Yes,Yes,Yes
R_1oegnHjqdUnBF9Q,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3g8bwQ6WkZKD6uO,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_3L7PSnN7tlE5FzW,Yes,A little,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_RDKokrIC0yh44zT,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_8cqMtF7lmBAHU9r,Yes,Some,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,No,No,No,No,Not at all acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1LUtj7dzSNmZ7Gn,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2DYMicGyxbshFKW,Yes,A great deal,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_0TikC0y7wO1euNX,Yes,Some,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2QDmCNZpspWhAZP,No,A great deal,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3JbgBOfyEDa92mt,Yes,Some,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1JF2bv4lpxes8GS,Yes,A little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_DczDvdlnYAQsKCB,Yes,A little,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,Yes
R_1gOOg4fjapeoTdN,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2wi4JwILYeQheja,Yes,A great deal,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_Xj4UupfcpNTLOvf,No,A great deal,Neither agree nor disagree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_1yKWE2O5bMfs8gx,No,Some,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_svAEZ1vGS4B6797,No,Some,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_26l5unP6ToAwR9w,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,Yes,No
R_1P0E1IQtUyneKLa,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,Yes,No,No,Not at all acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_2c8FAkUsY3g4xFE,Yes,A great deal,Somewhat disagree,Somewhat agree,Strongly Agree,Strongly agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Very acceptable,Not very acceptable,No,Yes,No
R_3ixMCsUoGIEbyLx,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1Ao6QqsWkavZIoF,Yes,A great deal,Somewhat agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_w5zanMJoiaUZkdz,Yes,A little,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_2tnc8pm29XutyXd,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_daLprHwX6zDi6R3,Yes,A little,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_30cJnLgMClvn9j2,Yes,A little,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_2fm9GpK8VHtjGPW,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,Yes
R_3kOph4Pbp85bxvX,No,A great deal,Somewhat agree,Strongly disagree,Strongly Agree,Strongly disagree,Somewhat agree,Strongly agree,Yes,Yes,Yes,Yes,Not at all acceptable,Somewhat acceptable,Not at all acceptable,No,No,No
R_3HYppclVomQ1U0x,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_22kTAmp831CRCt3,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Very acceptable,No,Yes,No
R_DM3qrgq4BnMOzkZ,Yes,Some,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_SPnJPrSBAIHkRDr,Yes,A little,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,Yes,Yes,Yes
R_UR5hd39iWJVOVnr,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Very acceptable,No,No,No
R_1pAnOk9qESNyECU,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,Yes,Yes,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2905KepZD5aPnHf,Yes,A great deal,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,No,Yes,Yes,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_cZUzSxyc2v4sexX,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Very acceptable,No,Yes,No
R_pB5bEbdRNHFh53X,No,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_25yYH3YI1G0qX0U,Yes,A little,Strongly disagree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2ZTyHY6KjQhXCzs,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Yes,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3DihSpCJbzLLuEm,No,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,Yes,Yes,Yes
R_1rDlIph68HBQKKf,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_BSpXiuxQGa4BJ9T,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,No,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Yes,No,No
R_2eOtfsNXMyyx43x,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,No,Yes,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1li1v9kxpMgAkzb,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Very acceptable,No,Yes,Yes
R_WjRbrusctR07CXD,No,A great deal,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_3090pIUtSt1CXPN,Yes,Nothing,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2R9DuFWVO9ahI2U,Yes,A little,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_1DNG70WFkwGfH74,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_1Iod3GtU6pk5xa5,Yes,Some,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3Lc2XaaymOUwcYT,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2aX2x8d3LCdzUyt,Yes,Nothing,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_10C2a0cuZdYGdSB,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,Yes
R_32WMYa0HufIPSnC,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Yes,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2rOBeSyZxGdtrHe,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3dMS0biEIiUXclX,Yes,Nothing,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Somewhat acceptable,Very acceptable,Yes,Yes,Yes
R_1jpM8jj1oDuaDe3,Yes,Some,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_3koLhzC8bzjJxzC,Yes,Some,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Very acceptable,Very acceptable,No,No,No
R_3qJqlTwFvFQDb5B,Yes,A great deal,Neither agree nor disagree,Somewhat agree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2xE1o1J7Fc4un8d,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1JEnnAglvBnu9FO,Yes,Some,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_PO6oqdPVCPnsWCB,No,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_28UKKLw0fvc1Yn8,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2SH6xdfuTQD8hE0,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_27PbX0AyiKiqMAD,Yes,A little,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_80NgH1eHXD6DbYR,Yes,A little,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,No,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_25QQQ16LEjUBIyh,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3n96lzfbMGQf9bH,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_25yzKvwrOPP2g3e,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,No,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,Yes,Yes,Yes
R_3j7Zcj1HwBIPwnh,No,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3oHIQSneTWqoqg7,Yes,Nothing,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2RV86oZxMwZIi2s,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1KcC4rNsGdgz78t,Yes,A great deal,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_PzKIWdL6XInMjwR,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_1FL1sl2bQ9EO7Kv,Yes,Nothing,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1IGVHB7JYNfu39K,Yes,A little,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_u1D7i9LDCcKc5Tb,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2rx2QE3ZuKF1Ley,Yes,A great deal,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_2sYoANdkeH6pmGo,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
